Parent_Code,WordIndex
6320-6,1336
12781-1,1337
RXNORM:608568,1338
73561-3,1339
30400-6,1340
30424-6,1341
PheCode:626.00,1342
PheCode:516.10,1343
PheCode:772.30,1344
PheCode:350.60,1345
5822-2,1346
34500-9,1347
RXNORM:3541,1348
3209-4,1349
3255-7,1350
6012-9,1351
PheCode:475.90,1352
PheCode:535.90,1353
PheCode:415.11,1354
48058-2,1355
PheCode:286.90,1356
PheCode:452.00,1357
PheCode:286.13,1358
RXNORM:1364430,1359
RXNORM:1114195,1360
34571-0,1361
13590-5,1362
27811-9,1363
57838-5,1364
52756-4,1365
24475-6,1366
27821-8,1367
27819-2,1368
3286-2,1369
3287-0,1370
44448-9,1371
44449-7,1372
PheCode:200.00,1373
PheCode:280.20,1374
X2053-7,1375
PheCode:286.81,1376
RXNORM:7514,1377
RXNORM:473387,1378
RXNORM:24909,1379
PheCode:415.20,1380
3182-3,1381
3181-5,1382
16136-4,1383
16135-6,1384
PheCode:279.80,1385
62948-5,1386
13964-2,1387
43237-7,1388
X1335-9,1389
PheCode:557.10,1390
PheCode:585.31,1391
PheCode:415.00,1392
RXNORM:3319,1393
PheCode:628.00,1394
49796-6,1395
6924-5,1396
5170-6,1397
PheCode:470.00,1398
RXNORM:8896,1399
32764-3,1400
32763-5,1401
32762-7,1402
32766-8,1403
32761-9,1404
32765-0,1405
PheCode:704.10,1406
RXNORM:466584,1407
RXNORM:7812,1408
RXNORM:66887,1409
RXNORM:25138,1410
RXNORM:6185,1411
CCS-PCS:33,1412
CCS-PCS:28,1413
PheCode:627.30,1414
PheCode:457.30,1415
CCS-PCS:147,1416
PheCode:817.00,1417
PheCode:743.90,1418
PheCode:350.10,1419
PheCode:351.00,1420
PheCode:386.30,1421
RXNORM:352372,1422
PheCode:771.00,1423
5176-3,1424
PheCode:054.00,1425
RXNORM:73645,1426
RXNORM:39786,1427
PheCode:276.13,1428
PheCode:573.60,1429
RXNORM:36709,1430
32717-1,1431
2947-0,1432
8310-5,1433
2703-7,1434
2744-1,1435
2019-8,1436
763-3,1437
1927-3,1438
41654-5,1439
6298-4,1440
